EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNITED KINGDOM, HEATHROW (STAID: 1860).
Blended and updated with sources: 107650 903672 903772 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107650,19780901,    0,    0
107650,19780902,    0,    0
107650,19780903,    0,    0
107650,19780904,    0,    0
107650,19780905,   11,    0
107650,19780906,   11,    0
107650,19780907,    0,    0
107650,19780908,    1,    0
107650,19780909,    0,    0
107650,19780910,    0,    0
107650,19780911,    0,    0
107650,19780912,    0,    0
107650,19780913,   59,    0
107650,19780914,    0,    0
107650,19780915,    0,    0
107650,19780916,    0,    0
107650,19780917,    0,    0
107650,19780918,    0,    0
107650,19780919,    0,    0
107650,19780920,    0,    0
107650,19780921,    0,    0
107650,19780922,    0,    0
107650,19780923,    0,    0
107650,19780924,    0,    0
107650,19780925,    0,    0
107650,19780926,    3,    0
107650,19780927,   64,    0
107650,19780928,   17,    0
107650,19780929,    1,    0
107650,19780930,    4,    0
107650,19781001,    0,    0
107650,19781002,    0,    0
107650,19781003,    1,    0
107650,19781004,    0,    0
107650,19781005,    0,    0
107650,19781006,    0,    0
107650,19781007,    0,    0
107650,19781008,    0,    0
107650,19781009,    0,    0
107650,19781010,    0,    0
107650,19781011,    0,    0
107650,19781012,    0,    0
107650,19781013,    0,    0
107650,19781014,    0,    0
107650,19781015,    6,    0
107650,19781016,    2,    0
107650,19781017,    3,    0
107650,19781018,    0,    0
107650,19781019,    0,    0
107650,19781020,    3,    0
107650,19781021,    0,    0
107650,19781022,    0,    0
107650,19781023,    0,    0
107650,19781024,    0,    0
107650,19781025,    1,    0
107650,19781026,    0,    0
107650,19781027,    0,    0
107650,19781028,    0,    0
107650,19781029,    0,    0
107650,19781030,    0,    0
107650,19781031,    0,    0
107650,19781101,    1,    0
107650,19781102,    0,    0
107650,19781103,    0,    0
107650,19781104,    0,    0
107650,19781105,    0,    0
107650,19781106,    0,    0
107650,19781107,    0,    0
107650,19781108,    0,    0
107650,19781109,    0,    0
107650,19781110,    1,    0
107650,19781111,    0,    0
107650,19781112,   29,    0
107650,19781113,    0,    0
107650,19781114,    2,    0
107650,19781115,   15,    0
107650,19781116,    0,    0
107650,19781117,    0,    0
107650,19781118,    7,    0
107650,19781119,   22,    0
107650,19781120,    0,    0
107650,19781121,    0,    0
107650,19781122,    0,    0
107650,19781123,    0,    0
107650,19781124,    6,    0
107650,19781125,    0,    0
107650,19781126,    0,    0
107650,19781127,    0,    0
107650,19781128,    0,    0
107650,19781129,    0,    0
107650,19781130,    0,    0
107650,19781201,    0,    0
107650,19781202,    0,    0
107650,19781203,   61,    0
107650,19781204,    3,    0
107650,19781205,    0,    0
107650,19781206,    0,    0
107650,19781207,   68,    0
107650,19781208,   50,    0
107650,19781209,   91,    0
107650,19781210,  221,    0
107650,19781211,   56,    0
107650,19781212,   80,    0
107650,19781213,   27,    0
107650,19781214,   16,    0
107650,19781215,    9,    0
107650,19781216,    0,    0
107650,19781217,    0,    0
107650,19781218,    0,    0
107650,19781219,    0,    0
107650,19781220,    5,    0
107650,19781221,   39,    0
107650,19781222,    0,    0
107650,19781223,   40,    0
107650,19781224,   43,    0
107650,19781225,   61,    0
107650,19781226,    2,    0
107650,19781227,   25,    0
107650,19781228,  131,    0
107650,19781229,   35,    0
107650,19781230,   23,    0
107650,19781231,    4,    0
107650,19790101,    4,    0
107650,19790102,    0,    0
107650,19790103,    0,    0
107650,19790104,    0,    0
107650,19790105,    0,    0
107650,19790106,    7,    0
107650,19790107,   52,    0
107650,19790108,    8,    0
107650,19790109,   72,    0
107650,19790110,   21,    0
107650,19790111,   23,    0
107650,19790112,    0,    0
107650,19790113,    0,    0
107650,19790114,    8,    0
107650,19790115,    1,    0
107650,19790116,   39,    0
107650,19790117,   25,    0
107650,19790118,    2,    0
107650,19790119,   52,    0
107650,19790120,    0,    0
107650,19790121,    1,    0
107650,19790122,   62,    0
107650,19790123,   10,    0
107650,19790124,   14,    0
107650,19790125,   53,    0
107650,19790126,    1,    0
107650,19790127,    0,    0
107650,19790128,   75,    0
107650,19790129,   44,    0
107650,19790130,    1,    0
107650,19790131,   24,    0
107650,19790201,  101,    0
107650,19790202,    0,    0
107650,19790203,    0,    0
107650,19790204,    0,    0
107650,19790205,    0,    0
107650,19790206,   90,    0
107650,19790207,    4,    0
107650,19790208,    0,    0
107650,19790209,    0,    0
107650,19790210,    0,    0
107650,19790211,   44,    0
107650,19790212,   67,    0
107650,19790213,   91,    0
107650,19790214,    0,    0
107650,19790215,    1,    0
107650,19790216,    0,    0
107650,19790217,    0,    0
107650,19790218,    0,    0
107650,19790219,    1,    0
107650,19790220,    0,    0
107650,19790221,    6,    0
107650,19790222,   18,    0
107650,19790223,    0,    0
107650,19790224,    0,    0
107650,19790225,    0,    0
107650,19790226,    0,    0
107650,19790227,    8,    0
107650,19790228,    9,    0
107650,19790301,    2,    0
107650,19790302,    0,    0
107650,19790303,   53,    0
107650,19790304,    0,    0
107650,19790305,    0,    0
107650,19790306,   28,    0
107650,19790307,    0,    0
107650,19790308,   80,    0
107650,19790309,   31,    0
107650,19790310,   38,    0
107650,19790311,    0,    0
107650,19790312,   11,    0
107650,19790313,  203,    0
107650,19790314,    5,    0
107650,19790315,   31,    0
107650,19790316,  118,    0
107650,19790317,    3,    0
107650,19790318,    7,    0
107650,19790319,   10,    0
107650,19790320,   24,    0
107650,19790321,   33,    0
107650,19790322,    1,    0
107650,19790323,    0,    0
107650,19790324,   91,    0
107650,19790325,    2,    0
107650,19790326,   54,    0
107650,19790327,   42,    0
107650,19790328,   41,    0
107650,19790329,   33,    0
107650,19790330,    7,    0
107650,19790331,    1,    0
107650,19790401,   28,    0
107650,19790402,   30,    0
107650,19790403,    0,    0
107650,19790404,    0,    0
107650,19790405,    1,    0
107650,19790406,    0,    0
107650,19790407,  285,    0
107650,19790408,   78,    0
107650,19790409,    0,    0
107650,19790410,   84,    0
107650,19790411,    2,    0
107650,19790412,   19,    0
107650,19790413,    0,    0
107650,19790414,    0,    0
107650,19790415,    0,    0
107650,19790416,    0,    0
107650,19790417,    0,    0
107650,19790418,    0,    0
107650,19790419,   14,    0
107650,19790420,    0,    0
107650,19790421,    0,    0
107650,19790422,   50,    0
107650,19790423,  116,    0
107650,19790424,    9,    0
107650,19790425,   29,    0
107650,19790426,    1,    0
107650,19790427,   24,    0
107650,19790428,    4,    0
107650,19790429,    1,    0
107650,19790430,    1,    0
107650,19790501,  142,    0
107650,19790502,   14,    0
107650,19790503,    0,    0
107650,19790504,    4,    0
107650,19790505,    0,    0
107650,19790506,    0,    0
107650,19790507,    0,    0
107650,19790508,    0,    0
107650,19790509,    0,    0
107650,19790510,  178,    0
107650,19790511,    4,    0
107650,19790512,    0,    0
107650,19790513,    0,    0
107650,19790514,    0,    0
107650,19790515,    0,    0
107650,19790516,   11,    0
107650,19790517,    2,    0
107650,19790518,    0,    0
107650,19790519,    5,    0
107650,19790520,  155,    0
107650,19790521,   71,    0
107650,19790522,   39,    0
107650,19790523,   13,    0
107650,19790524,   57,    0
107650,19790525,   56,    0
107650,19790526,   56,    0
107650,19790527,    0,    0
107650,19790528,   42,    0
107650,19790529,    1,    0
107650,19790530,   20,    0
107650,19790531,    0,    0
107650,19790601,   19,    0
107650,19790602,    0,    0
107650,19790603,    0,    0
107650,19790604,    0,    0
107650,19790605,    0,    0
107650,19790606,    0,    0
107650,19790607,   57,    0
107650,19790608,    0,    0
107650,19790609,    0,    0
107650,19790610,   40,    0
107650,19790611,    1,    0
107650,19790612,   79,    0
107650,19790613,   72,    0
107650,19790614,   21,    0
107650,19790615,   45,    0
107650,19790616,    0,    0
107650,19790617,    0,    0
107650,19790618,    0,    0
107650,19790619,    0,    0
107650,19790620,    0,    0
107650,19790621,    9,    0
107650,19790622,    0,    0
107650,19790623,    0,    0
107650,19790624,   12,    0
107650,19790625,   21,    0
107650,19790626,    0,    0
107650,19790627,    0,    0
107650,19790628,    0,    0
107650,19790629,    0,    0
107650,19790630,    0,    0
107650,19790701,    0,    0
107650,19790702,    0,    0
107650,19790703,    0,    0
107650,19790704,    0,    0
107650,19790705,    0,    0
107650,19790706,    0,    0
107650,19790707,    0,    0
107650,19790708,    5,    0
107650,19790709,    0,    0
107650,19790710,    0,    0
107650,19790711,    0,    0
107650,19790712,    0,    0
107650,19790713,    0,    0
107650,19790714,    0,    0
107650,19790715,    0,    0
107650,19790716,    0,    0
107650,19790717,    0,    0
107650,19790718,    0,    0
107650,19790719,    0,    0
107650,19790720,    0,    0
107650,19790721,    0,    0
107650,19790722,    0,    0
107650,19790723,    0,    0
107650,19790724,   85,    0
107650,19790725,    0,    0
107650,19790726,    0,    0
107650,19790727,    0,    0
107650,19790728,   80,    0
107650,19790729,    1,    0
107650,19790730,   24,    0
107650,19790731,   22,    0
107650,19790801,    0,    0
107650,19790802,   10,    0
107650,19790803,   30,    0
107650,19790804,    0,    0
107650,19790805,    0,    0
107650,19790806,    2,    0
107650,19790807,    0,    0
107650,19790808,  110,    0
107650,19790809,   31,    0
107650,19790810,    3,    0
107650,19790811,    9,    0
107650,19790812,    0,    0
107650,19790813,   12,    0
107650,19790814,    0,    0
107650,19790815,    0,    0
107650,19790816,   58,    0
107650,19790817,   23,    0
107650,19790818,    0,    0
107650,19790819,    0,    0
107650,19790820,   23,    0
107650,19790821,    2,    0
107650,19790822,    0,    0
107650,19790823,   21,    0
107650,19790824,    0,    0
107650,19790825,    0,    0
107650,19790826,    0,    0
107650,19790827,    0,    0
107650,19790828,    0,    0
107650,19790829,    0,    0
107650,19790830,    0,    0
107650,19790831,    0,    0
107650,19790901,   36,    0
107650,19790902,    9,    0
107650,19790903,    0,    0
107650,19790904,    0,    0
107650,19790905,    0,    0
107650,19790906,    0,    0
107650,19790907,    0,    0
107650,19790908,    0,    0
107650,19790909,    0,    0
107650,19790910,    0,    0
107650,19790911,    0,    0
107650,19790912,    0,    0
107650,19790913,    0,    0
107650,19790914,    0,    0
107650,19790915,    0,    0
107650,19790916,    0,    0
107650,19790917,    0,    0
107650,19790918,   55,    0
107650,19790919,   70,    0
107650,19790920,    0,    0
107650,19790921,   33,    0
107650,19790922,    0,    0
107650,19790923,    3,    0
107650,19790924,    0,    0
107650,19790925,    0,    0
107650,19790926,    2,    0
107650,19790927,    0,    0
107650,19790928,    0,    0
107650,19790929,    0,    0
107650,19790930,    0,    0
107650,19791001,    0,    0
107650,19791002,    0,    0
107650,19791003,    9,    0
107650,19791004,    0,    0
107650,19791005,    0,    0
107650,19791006,   21,    0
107650,19791007,    0,    0
107650,19791008,  105,    0
107650,19791009,   91,    0
107650,19791010,  119,    0
107650,19791011,    1,    0
107650,19791012,    3,    0
107650,19791013,    0,    0
107650,19791014,    0,    0
107650,19791015,    0,    0
107650,19791016,    0,    0
107650,19791017,   10,    0
107650,19791018,    0,    0
107650,19791019,    0,    0
107650,19791020,    0,    0
107650,19791021,    0,    0
107650,19791022,    0,    0
107650,19791023,    0,    0
107650,19791024,   73,    0
107650,19791025,  188,    0
107650,19791026,   31,    0
107650,19791027,    0,    0
107650,19791028,    0,    0
107650,19791029,    0,    0
107650,19791030,   36,    0
107650,19791031,    0,    0
107650,19791101,    0,    0
107650,19791102,   54,    0
107650,19791103,    3,    0
107650,19791104,    8,    0
107650,19791105,   34,    0
107650,19791106,   48,    0
107650,19791107,   36,    0
107650,19791108,    6,    0
107650,19791109,   23,    0
107650,19791110,    0,    0
107650,19791111,   92,    0
107650,19791112,    0,    0
107650,19791113,   26,    0
107650,19791114,   12,    0
107650,19791115,   14,    0
107650,19791116,    5,    0
107650,19791117,    9,    0
107650,19791118,    0,    0
107650,19791119,    0,    0
107650,19791120,    0,    0
107650,19791121,    2,    0
107650,19791122,    1,    0
107650,19791123,    1,    0
107650,19791124,    0,    0
107650,19791125,    0,    0
107650,19791126,  108,    0
107650,19791127,    0,    0
107650,19791128,    0,    0
107650,19791129,    1,    0
107650,19791130,    0,    0
107650,19791201,    0,    0
107650,19791202,    6,    0
107650,19791203,    0,    0
107650,19791204,    0,    0
107650,19791205,   41,    0
107650,19791206,    0,    0
107650,19791207,   18,    0
107650,19791208,   20,    0
107650,19791209,   86,    0
107650,19791210,   67,    0
107650,19791211,    7,    0
107650,19791212,   20,    0
107650,19791213,  138,    0
107650,19791214,   37,    0
107650,19791215,    3,    0
107650,19791216,    0,    0
107650,19791217,    2,    0
107650,19791218,   31,    0
107650,19791219,    4,    0
107650,19791220,    0,    0
107650,19791221,   16,    0
107650,19791222,    7,    0
107650,19791223,    2,    0
107650,19791224,    0,    0
107650,19791225,    1,    0
107650,19791226,   43,    0
107650,19791227,  356,    0
107650,19791228,    2,    0
107650,19791229,    1,    0
107650,19791230,    0,    0
107650,19791231,    0,    0
107650,19800101,    0,    0
107650,19800102,    2,    0
107650,19800103,   99,    0
107650,19800104,    0,    0
107650,19800105,    0,    0
107650,19800106,    0,    0
107650,19800107,    0,    0
107650,19800108,    1,    0
107650,19800109,    0,    0
107650,19800110,    0,    0
107650,19800111,    0,    0
107650,19800112,    0,    0
107650,19800113,    0,    0
107650,19800114,    0,    0
107650,19800115,    1,    0
107650,19800116,    0,    0
107650,19800117,    0,    0
107650,19800118,    0,    0
107650,19800119,    4,    0
107650,19800120,   79,    0
107650,19800121,   23,    0
107650,19800122,    3,    0
107650,19800123,    0,    0
107650,19800124,    0,    0
107650,19800125,    0,    0
107650,19800126,    0,    0
107650,19800127,    0,    0
107650,19800128,    0,    0
107650,19800129,    2,    0
107650,19800130,   50,    0
107650,19800131,   33,    0
107650,19800201,   30,    0
107650,19800202,   20,    0
107650,19800203,   53,    0
107650,19800204,   48,    0
107650,19800205,    4,    0
107650,19800206,   43,    0
107650,19800207,   20,    0
107650,19800208,    4,    0
107650,19800209,    0,    0
107650,19800210,    0,    0
107650,19800211,    0,    0
107650,19800212,    0,    0
107650,19800213,    0,    0
107650,19800214,   13,    0
107650,19800215,    6,    0
107650,19800216,   26,    0
107650,19800217,    0,    0
107650,19800218,    0,    0
107650,19800219,    0,    0
107650,19800220,    0,    0
107650,19800221,   18,    0
107650,19800222,   57,    0
107650,19800223,    2,    0
107650,19800224,   24,    0
107650,19800225,    0,    0
107650,19800226,    0,    0
107650,19800227,    0,    0
107650,19800228,    0,    0
107650,19800229,    0,    0
107650,19800301,    0,    0
107650,19800302,    0,    0
107650,19800303,    0,    0
107650,19800304,    0,    0
107650,19800305,   21,    0
107650,19800306,   89,    0
107650,19800307,   34,    0
107650,19800308,    0,    0
107650,19800309,    9,    0
107650,19800310,    3,    0
107650,19800311,   14,    0
107650,19800312,   52,    0
107650,19800313,    0,    0
107650,19800314,    0,    0
107650,19800315,    0,    0
107650,19800316,    8,    0
107650,19800317,  133,    0
